location,latitude,longitude,confirmed,dead,recovered
Peru,-9.189967,-75.015152,33931,943,10037
Ukraine,48.379433,31.1655799,10406,261,1238
Argentina,-38.416097,-63.616672,4285,214,1192
Estonia,58.595272,25.0136071,1666,50,240
Bulgaria,42.733883,25.48583,1488,65,266
Slovakia,48.669026,19.699024,1396,23,524
Bolivia,-16.290154,-63.588653,1110,59,117
Tunisia,33.886917,9.537499,980,40,294
Latvia,56.879635,24.603189,858,15,348
Andorra,42.506285,1.521801,743,42,423
Kyrgyzstan,41.20438,74.766098,746,8,462
Uruguay,-32.522779,-55.765835,630,15,412
Montenegro,42.708678,19.37439,322,7,206
Jersey,49.214439,-2.13125,284,20,185
Paraguay,-23.442503,-58.443832,249,9,111
Northern Cyprus,35.2480359,33.6577243,108,3,52
Liechtenstein,47.166,9.555373,82,1,55
Grenada,12.1165,-61.679,20,0,13
Saint Lucia,13.909444,-60.978893,17,0,15
Dominica,15.414999,-61.370976,16,0,13
Namibia,-22.95764,18.49041,16,0,8
Isle of Man,54.236107,-4.548056,313,21,258
Guernsey,49.4481982,-2.58949,247,13,191
Brunei,4.535277,114.727669,138,1,124
Zambia,-13.133897,27.849332,97,3,54
Barbados,13.193887,-59.543198,80,7,39
Belarus,53.709807,27.953389,13181,84,2072
Oman,21.4735329,55.975413,2348,10,495
Macau,22.198745,113.543873,45,0,34
Cameroon,7.369722,12.354722,1832,61,934
Nigeria,9.081999,8.675277,1728,51,307
Ghana,7.946527,-1.023194,1671,16,188
Cuba,21.521757,-77.781167,1467,58,617
Senegal,14.497401,-14.452362,882,9,315
Cyprus,35.126413,33.429859,843,15,148
Kosovo,42.6026359,20.902977,799,22,249
Honduras,15.199999,-86.241905,771,71,79
Sri Lanka,7.873054,80.771797,649,7,139
Guatemala,15.783471,-90.230759,585,16,65
Georgia,32.1656221,-82.9000751,539,6,178
DR Congo,-4.038333,21.758664,500,31,65
Malta,35.937496,14.375416,463,4,339
Jamaica,18.109581,-77.297508,396,7,29
Mauritius,-20.348404,57.552152,332,10,306
South Sudan,6.8769919,31.3069788,34,0,0
Falkland Islands,-51.796253,-59.523613,13,0,11
?land Islands,60.1785247,19.9156105,11,0,0
Burundi,-3.373056,29.918886,11,1,4
Greenland,71.706936,-42.604303,11,0,11
British Virgin Islands,18.420695,-64.639968,6,1,3
Somaliland,9.4117434,46.8252838,6,0,1
Abkhazia,43.0015544,41.023407,3,0,2
Anguilla,18.220554,-63.068615,3,0,3
Martinique,14.641528,-61.024174,175,14,83
Diamond Princess,40.8642959,-73.9614914,712,13,651
Suriname,3.919305,-56.027783,10,1,8
Vatican City,41.902916,12.453389,10,0,2
Mauritania,21.00789,-10.940835,8,1,6
Papua New Guinea,-6.314993,143.95555,8,0,0
Artsakh,39.796249,46.6550799,7,0,0
Bhutan,27.514162,90.433601,7,0,5
Yemen,15.552727,48.516388,6,2,1
Sint Eustatius,17.4890306,-62.973555,2,0,1
UK,55.378051,-3.435973,165221,26097,0
Netherlands,52.132633,5.291266,38802,4711,0
Norway,60.472024,8.468946,7710,207,32
Bosnia and Herzegovina,43.915886,17.679076,1677,65,710
Mayotte,-12.8275,45.166244,460,4,235
R?nion,-21.115141,55.536384,420,0,300
